formattedDate,id,isNew,name,name_en,typeString,url,gacha_type,gacha_1_url,gacha_2_url,image
2025年9月,la96,False,头奖行动,Operation Jackpot,活动,https://mwstats.info/events/operation-jackpot-2tw6taqa?lang=zh-hans,旗舰宝箱类,https://mwstats.info/lootboxes/container-efqvs5ts?lang=zh-hans,https://mwstats.info/lootboxes/flagship-container-d4bifh09?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/lootbox_activity_LA96_background.jpg?v=eb631603', 'alt': '头奖行动', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/lootbox_activity_LA96_background.jpg?v=eb631603', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/lootbox_activity_LA96_background.jpg?v=eb631603', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/lootbox_activity_LA96_background.jpg?v=eb631603', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/lootbox_activity_LA96_background.jpg?v=eb631603', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/lootbox_activity_LA96_background.jpg?v=eb631603'}}"
2025年9月,be96,False,自由之光,Lights of Liberty,活动,https://mwstats.info/events/lights-of-liberty-bkempnao?lang=zh-hans,机密货物类,https://mwstats.info/gacha/delivery-drone-ayy1osia?lang=zh-hans,https://mwstats.info/gacha/classified-cargo-1bwk79sh?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_BE96_popup.jpg?v=1609c8ae', 'alt': '自由之光', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_BE96_popup.jpg?v=1609c8ae', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_BE96_popup.jpg?v=1609c8ae', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_BE96_popup.jpg?v=1609c8ae', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_BE96_popup.jpg?v=1609c8ae', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_BE96_popup.jpg?v=1609c8ae'}}"
2025年9月,ag96,False,禁品追缉,Contraband Hunt,活动,https://mwstats.info/events/contraband-hunt-6nqu0pv5?lang=zh-hans,筹码类,https://mwstats.info/gacha/contraband-hunt-c0ihfqkv?lang=zh-hans,,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/activity_gacha_AG96_background.jpg?v=7154be1b', 'alt': '禁品追缉', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/activity_gacha_AG96_background.jpg?v=7154be1b', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/activity_gacha_AG96_background.jpg?v=7154be1b', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/activity_gacha_AG96_background.jpg?v=7154be1b', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/activity_gacha_AG96_background.jpg?v=7154be1b', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/activity_gacha_AG96_background.jpg?v=7154be1b'}}"
2025年8月,fw25,False,梦幻之战,Fantasy Warfare,抽奖,https://mwstats.info/gacha/fantasy-warfare-9ksrcs0b?lang=zh-hans,筹码类,https://mwstats.info/gacha/fantasy-warfare-9ksrcs0b?lang=zh-hans,,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/gacha-preview/activity_gacha_fw25_background.jpg?v=de4128e4', 'alt': '梦幻之战', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/gacha-preview/activity_gacha_fw25_background.jpg?v=de4128e4', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_fw25_background.jpg?v=de4128e4', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_fw25_background.jpg?v=de4128e4', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_fw25_background.jpg?v=de4128e4', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_fw25_background.jpg?v=de4128e4'}}"
2025年8月,bf25,False,自由之息,Breath of Freedom,活动,https://mwstats.info/events/breath-of-freedom-6z60wyig?lang=zh-hans,机密货物类,https://mwstats.info/gacha/delivery-drone-50km6d1h?lang=zh-hans,https://mwstats.info/gacha/classified-cargo-koj0ox7x?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_bf25_popup.jpg?v=01ce4456', 'alt': '自由之息', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_bf25_popup.jpg?v=01ce4456', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_bf25_popup.jpg?v=01ce4456', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_bf25_popup.jpg?v=01ce4456', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_bf25_popup.jpg?v=01ce4456', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_bf25_popup.jpg?v=01ce4456'}}"
2025年8月,hp25,False,荣耀之力,Honor and Power,活动,https://mwstats.info/events/honor-and-power-5yfa3y3i?lang=zh-hans,旗舰宝箱类,https://mwstats.info/lootboxes/container-3wfaat7a?lang=zh-hans,https://mwstats.info/lootboxes/flagship-container-2tdl03fm?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_hp25_popup.jpg?v=cad76714', 'alt': '荣耀之力', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_hp25_popup.jpg?v=cad76714', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_hp25_popup.jpg?v=cad76714', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_hp25_popup.jpg?v=cad76714', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_hp25_popup.jpg?v=cad76714', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_hp25_popup.jpg?v=cad76714'}}"
2025年7月,sf25,False,舰队之星,Stars of the Fleet,活动,https://mwstats.info/events/stars-of-the-fleet-c1uuer89?lang=zh-hans,旗舰宝箱类,https://mwstats.info/lootboxes/container-2t9pkmcl?lang=zh-hans,https://mwstats.info/lootboxes/flagship-container-apx5n9ud?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/lootbox_activity_sf25_background.jpg?v=f748f2f7', 'alt': '舰队之星', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/lootbox_activity_sf25_background.jpg?v=f748f2f7', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/lootbox_activity_sf25_background.jpg?v=f748f2f7', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/lootbox_activity_sf25_background.jpg?v=f748f2f7', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/lootbox_activity_sf25_background.jpg?v=f748f2f7', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/lootbox_activity_sf25_background.jpg?v=f748f2f7'}}"
2025年4月,ps25,False,海上瘟疫,Plague of the Seas,活动,https://mwstats.info/events/plague-of-the-seas-1hk5xp87?lang=zh-hans,机密货物类,https://mwstats.info/gacha/delivery-drone-1wjilfve?lang=zh-hans,https://mwstats.info/gacha/classified-cargo-by7womkv?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_ps25_popup.jpg?v=df0ce885', 'alt': '海上瘟疫', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_ps25_popup.jpg?v=df0ce885', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_ps25_popup.jpg?v=df0ce885', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_ps25_popup.jpg?v=df0ce885', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_ps25_popup.jpg?v=df0ce885', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_ps25_popup.jpg?v=df0ce885'}}"
2025年4月,wa25,False,深渊之怒,Wrath of the Abyss,活动,https://mwstats.info/events/wrath-of-the-abyss-dswhsxyc?lang=zh-hans,机密货物类,https://mwstats.info/gacha/delivery-drone-eko02irg?lang=zh-hans,https://mwstats.info/gacha/classified-cargo-3rv9t0i5?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_wa25_popup.jpg?v=331512bc', 'alt': '深渊之怒', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_wa25_popup.jpg?v=331512bc', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_wa25_popup.jpg?v=331512bc', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_wa25_popup.jpg?v=331512bc', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_wa25_popup.jpg?v=331512bc', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_wa25_popup.jpg?v=331512bc'}}"
2025年3月,es25,False,翠绿风暴,Emerald Storm,抽奖,https://mwstats.info/gacha/emerald-storm-6h1t9hss?lang=zh-hans,三叶草硬币类,https://mwstats.info/gacha/emerald-storm-6h1t9hss?lang=zh-hans,,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/gacha-preview/gacha_c_es25.jpg?v=e74010be', 'alt': '翠绿风暴', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/gacha-preview/gacha_c_es25.jpg?v=e74010be', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/gacha-preview/gacha_c_es25.jpg?v=e74010be', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/gacha-preview/gacha_c_es25.jpg?v=e74010be', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/gacha-preview/gacha_c_es25.jpg?v=e74010be', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/gacha-preview/gacha_c_es25.jpg?v=e74010be'}}"
2025年3月,sp06,False,Seas of Prey: 混沌竞技场,Seas of Prey: Arena of Chaos,活动,https://mwstats.info/events/seas-of-prey-arena-of-chaos-67t5od7h?lang=zh-hans,无人机补给类,https://mwstats.info/gacha/deep-dive-drone-37ygp2hx?lang=zh-hans,https://mwstats.info/gacha/stash-drone-9w1juzdm?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_sp06_popup.jpg?v=f92e7694', 'alt': 'Seas of Prey: 混沌竞技场', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_sp06_popup.jpg?v=f92e7694', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_sp06_popup.jpg?v=f92e7694', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_sp06_popup.jpg?v=f92e7694', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_sp06_popup.jpg?v=f92e7694', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_sp06_popup.jpg?v=f92e7694'}}"
2025年2月,lfp25,False,新春阅舰,Lunar Fleet Parade,活动,https://mwstats.info/events/lunar-fleet-parade-ag56efdj?lang=zh-hans,机密货物类,https://mwstats.info/gacha/delivery-drone-67g6hd34?lang=zh-hans,https://mwstats.info/gacha/classified-cargo-85dxunq6?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_lfp25_popup.jpg?v=7812da18', 'alt': '新春阅舰', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_lfp25_popup.jpg?v=7812da18', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_lfp25_popup.jpg?v=7812da18', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_lfp25_popup.jpg?v=7812da18', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_lfp25_popup.jpg?v=7812da18', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_lfp25_popup.jpg?v=7812da18'}}"
2025年2月,pf25,False,招财进宝,Pursuit of Fortune,抽奖,https://mwstats.info/gacha/pursuit-of-fortune-e0enaa6u?lang=zh-hans,筹码类,https://mwstats.info/gacha/pursuit-of-fortune-e0enaa6u?lang=zh-hans,,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/gacha-preview/gacha_c_pf25.jpg?v=6993bfbd', 'alt': '招财进宝', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/gacha-preview/gacha_c_pf25.jpg?v=6993bfbd', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/gacha-preview/gacha_c_pf25.jpg?v=6993bfbd', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/gacha-preview/gacha_c_pf25.jpg?v=6993bfbd', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/gacha-preview/gacha_c_pf25.jpg?v=6993bfbd', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/gacha-preview/gacha_c_pf25.jpg?v=6993bfbd'}}"
2025年7月,wd25,False,深海守望,Wardens of the Deep,活动,https://mwstats.info/events/wardens-of-the-deep-aplg7yx8?lang=zh-hans,机密货物类,https://mwstats.info/gacha/delivery-drone-8m2o0ox4?lang=zh-hans,https://mwstats.info/gacha/classified-cargo-a87903dn?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_wd25_popup.jpg?v=8b6d0186', 'alt': '深海守望', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_wd25_popup.jpg?v=8b6d0186', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_wd25_popup.jpg?v=8b6d0186', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_wd25_popup.jpg?v=8b6d0186', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_wd25_popup.jpg?v=8b6d0186', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_wd25_popup.jpg?v=8b6d0186'}}"
2025年7月,lm25,False,漩涡之主,Lords of the Maelstrom,抽奖,https://mwstats.info/gacha/lords-of-the-maelstrom-ehiu6msm?lang=zh-hans,筹码类,https://mwstats.info/gacha/lords-of-the-maelstrom-ehiu6msm?lang=zh-hans,,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/gacha-preview/activity_gacha_lm25_background.jpg?v=f43a33ae', 'alt': '漩涡之主', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/gacha-preview/activity_gacha_lm25_background.jpg?v=f43a33ae', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_lm25_background.jpg?v=f43a33ae', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_lm25_background.jpg?v=f43a33ae', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_lm25_background.jpg?v=f43a33ae', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_lm25_background.jpg?v=f43a33ae'}}"
2025年6月,ms25,False,黑帮之影,Mafia's Shadow,抽奖,https://mwstats.info/gacha/mafias-shadow-1pint3y9?lang=zh-hans,筹码类,https://mwstats.info/gacha/mafias-shadow-1pint3y9?lang=zh-hans,,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/gacha-preview/activity_gacha_ms25_background.jpg?v=6927418b', 'alt': '黑帮之影', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/gacha-preview/activity_gacha_ms25_background.jpg?v=6927418b', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_ms25_background.jpg?v=6927418b', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_ms25_background.jpg?v=6927418b', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_ms25_background.jpg?v=6927418b', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_ms25_background.jpg?v=6927418b'}}"
2025年6月,ph25,False,幻影狩猎,Phantom Hunt,活动,https://mwstats.info/events/phantom-hunt-11e8se5t?lang=zh-hans,机密货物类,https://mwstats.info/gacha/delivery-drone-8mxlo33r?lang=zh-hans,https://mwstats.info/gacha/classified-cargo-5s2tqq4o?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_ph25_popup.jpg?v=5a0a9015', 'alt': '幻影狩猎', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_ph25_popup.jpg?v=5a0a9015', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_ph25_popup.jpg?v=5a0a9015', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_ph25_popup.jpg?v=5a0a9015', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_ph25_popup.jpg?v=5a0a9015', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_ph25_popup.jpg?v=5a0a9015'}}"
2025年5月,rf25,False,狂怒律动,Rhythm of Fury,抽奖,https://mwstats.info/gacha/rhythm-of-fury-491vz12a?lang=zh-hans,筹码类,https://mwstats.info/gacha/rhythm-of-fury-491vz12a?lang=zh-hans,,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/gacha-preview/activity_gacha_rf25_background.jpg?v=4c0f00c9', 'alt': '狂怒律动', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/gacha-preview/activity_gacha_rf25_background.jpg?v=4c0f00c9', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_rf25_background.jpg?v=4c0f00c9', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_rf25_background.jpg?v=4c0f00c9', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_rf25_background.jpg?v=4c0f00c9', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_gacha_rf25_background.jpg?v=4c0f00c9'}}"
2025年4月,eb25,False,复活节赏金,Easter Bounty,抽奖,https://mwstats.info/gacha/easter-bounty-eez8pvc5?lang=zh-hans,复活节硬币类,https://mwstats.info/gacha/easter-bounty-eez8pvc5?lang=zh-hans,,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/gacha-preview/activity_c_eb25_background.jpg?v=14fe7b18', 'alt': '复活节赏金', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/gacha-preview/activity_c_eb25_background.jpg?v=14fe7b18', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_c_eb25_background.jpg?v=14fe7b18', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_c_eb25_background.jpg?v=14fe7b18', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_c_eb25_background.jpg?v=14fe7b18', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/gacha-preview/activity_c_eb25_background.jpg?v=14fe7b18'}}"
2025年1月,sj25,False,正义风暴,Storm of Justice,活动,https://mwstats.info/events/storm-of-justice-be76ldo3?lang=zh-hans,机密货物类,https://mwstats.info/gacha/delivery-drone-w377v2fw?lang=zh-hans,https://mwstats.info/gacha/classified-cargo-asjkh066?lang=zh-hans,"{'width': 1920, 'height': 1080, 'default': 'https://mwstats.info/images/event-key-art/event_sj25_popup.jpg?v=5117531b', 'alt': '正义风暴', 'hasTransparency': False, 'dominantColor': None, 'sizes': {'1920': 'https://mwstats.info/images/event-key-art/event_sj25_popup.jpg?v=5117531b', '1080': 'https://mwstats.info/cdn-cgi/image/width=1080%2Cformat=auto%2Cquality=85/images/event-key-art/event_sj25_popup.jpg?v=5117531b', '1440': 'https://mwstats.info/cdn-cgi/image/width=1440%2Cformat=auto%2Cquality=85/images/event-key-art/event_sj25_popup.jpg?v=5117531b', '720': 'https://mwstats.info/cdn-cgi/image/width=720%2Cformat=auto%2Cquality=85/images/event-key-art/event_sj25_popup.jpg?v=5117531b', '300': 'https://mwstats.info/cdn-cgi/image/width=300%2Cformat=auto%2Cquality=85/images/event-key-art/event_sj25_popup.jpg?v=5117531b'}}"
